near_group_id,group_size,infected_count,noninfected_count,exact_group_count,split_values,min_cross_label_phash_distance,max_cross_label_phash_distance,representative_infected,representative_noninfected
phash_001185,219,189,30,167,excluded_from_strict_split,0,28,PCOS/infected/image10444.jpg,PCOS/noninfected/Image_159.jpg
phash_001184,53,29,24,27,excluded_from_strict_split,0,16,PCOS/infected/image10510.jpg,PCOS/noninfected/Image_599.jpg
phash_001197,28,2,26,6,excluded_from_strict_split,0,8,PCOS/infected/image10648.jpg,PCOS/noninfected/Image_019.jpg
phash_001269,23,15,8,15,excluded_from_strict_split,0,10,PCOS/infected/image10459.jpg,PCOS/noninfected/Image_899.jpg
phash_001755,15,1,14,3,excluded_from_strict_split,0,2,PCOS/infected/image10445.jpg,PCOS/noninfected/Image_341.jpg
phash_001274,10,4,6,4,excluded_from_strict_split,0,6,PCOS/infected/image10920.jpg,PCOS/noninfected/Image_175.jpg
phash_001801,9,1,8,2,excluded_from_strict_split,0,0,PCOS/infected/image10493.jpg,PCOS/noninfected/Image_443.jpg
phash_001811,9,1,8,2,excluded_from_strict_split,0,0,PCOS/infected/image10503.jpg,PCOS/noninfected/Image_463.jpg
phash_001814,9,1,8,2,excluded_from_strict_split,0,0,PCOS/infected/image10507.jpg,PCOS/noninfected/Image_471.jpg
phash_001819,9,1,8,2,excluded_from_strict_split,0,0,PCOS/infected/image12278.jpg,PCOS/noninfected/Image_481.jpg
phash_001880,9,1,8,2,excluded_from_strict_split,0,0,PCOS/infected/image10514.jpg,PCOS/noninfected/Image_625.jpg
phash_001892,9,1,8,2,excluded_from_strict_split,0,0,PCOS/infected/image10525.jpg,PCOS/noninfected/Image_653.jpg
phash_001907,9,1,8,2,excluded_from_strict_split,0,0,PCOS/infected/image10539.jpg,PCOS/noninfected/Image_689.jpg
phash_001910,9,1,8,2,excluded_from_strict_split,0,0,PCOS/infected/image10542.jpg,PCOS/noninfected/Image_695.jpg
phash_001913,9,1,8,2,excluded_from_strict_split,0,0,PCOS/infected/image10546.jpg,PCOS/noninfected/Image_701.jpg
phash_001917,9,1,8,2,excluded_from_strict_split,0,0,PCOS/infected/image10550.jpg,PCOS/noninfected/Image_709.jpg
phash_001920,9,1,8,2,excluded_from_strict_split,0,0,PCOS/infected/image10552.jpg,PCOS/noninfected/Image_715.jpg
phash_001936,9,1,8,2,excluded_from_strict_split,0,0,PCOS/infected/image10572.jpg,PCOS/noninfected/Image_751.jpg
phash_001958,9,1,8,2,excluded_from_strict_split,0,0,PCOS/infected/image10592.jpg,PCOS/noninfected/Image_801.jpg
phash_001981,9,1,8,2,excluded_from_strict_split,0,0,PCOS/infected/image10615.jpg,PCOS/noninfected/Image_851.jpg
phash_002014,9,1,8,2,excluded_from_strict_split,0,0,PCOS/infected/image10655.jpg,PCOS/noninfected/Image_941.jpg
phash_001222,8,2,6,2,excluded_from_strict_split,0,0,PCOS/infected/image10747.jpg,PCOS/noninfected/Image_129.jpg
phash_001509,8,2,6,2,excluded_from_strict_split,0,0,PCOS/infected/image10554.jpg,PCOS/noninfected/Image_079.jpg
phash_001632,8,1,7,2,excluded_from_strict_split,0,0,PCOS/infected/image10684.jpg,PCOS/noninfected/Image_1000.jpg
phash_001609,7,1,6,2,excluded_from_strict_split,0,0,PCOS/infected/image12288.jpg,PCOS/noninfected/Image_053.jpg
phash_001627,7,1,6,2,excluded_from_strict_split,0,0,PCOS/infected/image10593.jpg,PCOS/noninfected/Image_091.jpg
phash_001655,7,1,6,2,excluded_from_strict_split,0,0,PCOS/infected/image12549.jpg,PCOS/noninfected/Image_123.jpg
phash_001752,7,1,6,2,excluded_from_strict_split,0,0,PCOS/infected/image10441.jpg,PCOS/noninfected/Image_333.jpg
phash_001165,300,292,8,248,excluded_from_strict_split,2,32,PCOS/infected/image10438.jpg,PCOS/noninfected/Image_859.jpg
phash_001307,24,16,8,14,excluded_from_strict_split,2,16,PCOS/infected/image10465.jpg,PCOS/noninfected/Image_547.jpg
phash_001754,13,1,12,3,excluded_from_strict_split,2,6,PCOS/infected/image10443.jpg,PCOS/noninfected/Image_273.jpg
phash_001215,12,6,6,5,excluded_from_strict_split,2,6,PCOS/infected/image10827.jpg,PCOS/noninfected/Image_311.jpg
phash_001856,9,1,8,2,excluded_from_strict_split,2,2,PCOS/infected/image12311.jpg,PCOS/noninfected/Image_565.jpg
phash_002034,9,1,8,2,excluded_from_strict_split,2,2,PCOS/infected/image10679.jpg,PCOS/noninfected/Image_987.jpg
phash_001753,7,1,6,2,excluded_from_strict_split,2,2,PCOS/infected/image10442.jpg,PCOS/noninfected/Image_335.jpg
phash_001195,240,234,6,212,excluded_from_strict_split,4,32,PCOS/infected/image10474.jpg,PCOS/noninfected/Image_103.jpg
phash_001613,24,2,22,5,excluded_from_strict_split,4,10,PCOS/infected/image10535.jpg,PCOS/noninfected/Image_061.jpg
phash_002018,9,1,8,2,excluded_from_strict_split,4,4,PCOS/infected/image11207.jpg,PCOS/noninfected/Image_949.jpg
