method,label_fraction,downstream_epochs,default_accuracy,auroc,selected_accuracy,selected_sensitivity,selected_specificity
Supervised ResNet-18,0.1,1,0.942731,0.992991,0.965387,0.947368,0.988506
Supervised ResNet-18,0.1,5,0.964758,0.998208,0.98175,0.983203,0.979885
Supervised ResNet-18,0.1,10,0.985525,0.998874,0.991189,0.993281,0.988506
Supervised ResNet-18,0.5,1,0.984267,0.999154,0.989931,0.982083,1.0
Supervised ResNet-18,0.5,5,0.994965,0.999482,0.998112,0.996641,1.0
Supervised ResNet-18,0.5,10,0.99056,0.99908,0.99056,0.996641,0.982759
Supervised ResNet-18,0.5,25,0.994336,0.99907,0.99056,0.996641,0.982759
SimCLR e25 fine-tune,0.1,1,0.930774,0.97111,0.95343,0.917133,1.0
SimCLR e25 fine-tune,0.1,5,0.930774,0.989336,0.955947,0.93505,0.982759
SimCLR e25 fine-tune,0.1,10,0.973568,0.99748,0.966646,0.992161,0.933908
SimCLR e25 fine-tune,0.5,1,0.948395,0.989291,0.959723,0.928331,1.0
SimCLR e25 fine-tune,0.5,5,0.96224,0.998127,0.982379,0.993281,0.968391
SimCLR e25 fine-tune,0.5,10,0.970422,0.999083,0.992448,0.995521,0.988506
SimCLR e25 fine-tune,0.5,25,0.994336,0.999173,0.984267,0.996641,0.968391
