method,label_fraction,epochs,n_seeds,seeds,accuracy_mean,accuracy_std,auroc_mean,auroc_std,selected_accuracy_mean,selected_accuracy_std,selected_sensitivity_mean,selected_specificity_mean
simclr_e25_finetune,10pct,1,3,7 42 123,0.9366477868680512,0.0213816748618202,0.9783844546558376,0.0072278116455368,0.9391650933501152,0.0176361229762815,0.920119447555058,0.9636015325670496
supervised_resnet18,10pct,1,3,7 42 123,0.9269981120201384,0.0137158557065471,0.9765749357497436,0.015309013044013,0.9366477868680512,0.0249385975936356,0.904441955953714,0.977969348659004
simclr_e25_finetune,10pct,5,1,42,0.9307740717432348,0.0,0.989335959120104,0.0,0.9559471365638766,0.0,0.93505039193729,0.9827586206896552
supervised_resnet18,10pct,5,1,42,0.9647577092511012,0.0,0.9982076430989432,0.0,0.9817495280050346,0.0,0.9832026875699889,0.9798850574712644
simclr_e25_finetune,10pct,10,3,7 42 123,0.975456261799874,0.0018879798615482,0.9963048057904604,0.0011199240795052,0.9758758128802182,0.0080182567038456,0.9854423292273236,0.9636015325670498
supervised_resnet18,10pct,10,3,7 42 123,0.9794419970631424,0.0075080890153862,0.9983814083999434,0.0009232949116964,0.9832179567862388,0.0149103047148452,0.9828294139604332,0.9837164750957856
simclr_e25_finetune,25pct,1,3,7 42 123,0.921124396895322,0.0064281743008367,0.9859389547480832,0.0019848382957967,0.9452485840151038,0.0103600236835458,0.9331840238895108,0.960727969348659
supervised_resnet18,25pct,1,3,7 42 123,0.9360184602475352,0.0058474343884062,0.9925162931785322,0.0044285003745776,0.9542689322425004,0.0245464274827943,0.9537140724150802,0.9549808429118776
simclr_e25_finetune,50pct,1,1,42,0.948395217117684,0.0,0.9892909088568818,0.0,0.9597230962869728,0.0,0.9283314669652856,1.0
supervised_resnet18,50pct,1,1,42,0.9842668344870988,0.0,0.9991536986266104,0.0,0.9899307740717432,0.0,0.9820828667413214,1.0
simclr_e25_finetune,50pct,5,1,42,0.9622404027690372,0.0,0.998127196200332,0.0,0.9823788546255506,0.0,0.9932810750279956,0.9683908045977012
supervised_resnet18,50pct,5,1,42,0.9949653870358716,0.0,0.999481921972944,0.0,0.998112020138452,0.0,0.9966405375139976,1.0
simclr_e25_finetune,50pct,10,3,7 42 123,0.9672750157331654,0.0028839368753656,0.9986227490957768,0.0004173201765587,0.9939165093350116,0.0025433932563419,0.9951474430757744,0.9923371647509578
supervised_resnet18,50pct,10,3,7 42 123,0.9930774071743236,0.0043601027251577,0.9990786148545736,1.772267877638518e-05,0.9930774071743236,0.0043601027251577,0.9966405375139976,0.9885057471264368
simclr_e25_finetune,50pct,25,1,42,0.9943360604153556,0.0,0.9991730058822772,0.0,0.9842668344870988,0.0,0.9966405375139976,0.9683908045977012
supervised_resnet18,50pct,25,1,42,0.9943360604153556,0.0,0.999070033852055,0.0,0.9905601006922592,0.0,0.9966405375139976,0.9827586206896552
