run_id,method,label_fraction,epochs,seed,output_dir,status,command
resnet18_supervised_phash_10pct_e10,supervised,0.1,10,42,runs/resnet18_supervised_phash_10pct_e10,done,uv run python scripts/train_supervised.py --epochs 10 --seed 42 --pretrained --split-csv metadata/splits_near_duplicate_aware_phash.csv --backbone resnet18 --label-fraction 0.1 --num-workers 0 --output-dir runs/resnet18_supervised_phash_10pct_e10
resnet18_supervised_phash_10pct_seed7_e10,supervised,0.1,10,7,runs/resnet18_supervised_phash_10pct_seed7_e10,done,uv run python scripts/train_supervised.py --epochs 10 --seed 7 --pretrained --split-csv metadata/splits_near_duplicate_aware_phash.csv --backbone resnet18 --label-fraction 0.1 --num-workers 0 --output-dir runs/resnet18_supervised_phash_10pct_seed7_e10
resnet18_supervised_phash_10pct_seed123_e10,supervised,0.1,10,123,runs/resnet18_supervised_phash_10pct_seed123_e10,done,uv run python scripts/train_supervised.py --epochs 10 --seed 123 --pretrained --split-csv metadata/splits_near_duplicate_aware_phash.csv --backbone resnet18 --label-fraction 0.1 --num-workers 0 --output-dir runs/resnet18_supervised_phash_10pct_seed123_e10
resnet18_supervised_phash_50pct_e10,supervised,0.5,10,42,runs/resnet18_supervised_phash_50pct_e10,done,uv run python scripts/train_supervised.py --epochs 10 --seed 42 --pretrained --split-csv metadata/splits_near_duplicate_aware_phash.csv --backbone resnet18 --label-fraction 0.5 --num-workers 0 --output-dir runs/resnet18_supervised_phash_50pct_e10
resnet18_supervised_phash_50pct_seed7_e10,supervised,0.5,10,7,runs/resnet18_supervised_phash_50pct_seed7_e10,done,uv run python scripts/train_supervised.py --epochs 10 --seed 7 --pretrained --split-csv metadata/splits_near_duplicate_aware_phash.csv --backbone resnet18 --label-fraction 0.5 --num-workers 0 --output-dir runs/resnet18_supervised_phash_50pct_seed7_e10
resnet18_supervised_phash_50pct_seed123_e10,supervised,0.5,10,123,runs/resnet18_supervised_phash_50pct_seed123_e10,done,uv run python scripts/train_supervised.py --epochs 10 --seed 123 --pretrained --split-csv metadata/splits_near_duplicate_aware_phash.csv --backbone resnet18 --label-fraction 0.5 --num-workers 0 --output-dir runs/resnet18_supervised_phash_50pct_seed123_e10
simclr_resnet18_phash_e25_finetune_10pct_e10,simclr,0.1,10,42,runs/simclr_resnet18_phash_e25_finetune_10pct_e10,done,uv run python scripts/finetune_simclr.py --epochs 10 --seed 42 --checkpoint runs/simclr_resnet18_phash_e25/encoder_last.pt --split-csv metadata/splits_near_duplicate_aware_phash.csv --backbone resnet18 --label-fraction 0.1 --no-freeze-encoder --num-workers 0 --output-dir runs/simclr_resnet18_phash_e25_finetune_10pct_e10
simclr_resnet18_phash_e25_finetune_10pct_seed7_e10,simclr,0.1,10,7,runs/simclr_resnet18_phash_e25_finetune_10pct_seed7_e10,done,uv run python scripts/finetune_simclr.py --epochs 10 --seed 7 --checkpoint runs/simclr_resnet18_phash_e25/encoder_last.pt --split-csv metadata/splits_near_duplicate_aware_phash.csv --backbone resnet18 --label-fraction 0.1 --no-freeze-encoder --num-workers 0 --output-dir runs/simclr_resnet18_phash_e25_finetune_10pct_seed7_e10
simclr_resnet18_phash_e25_finetune_10pct_seed123_e10,simclr,0.1,10,123,runs/simclr_resnet18_phash_e25_finetune_10pct_seed123_e10,done,uv run python scripts/finetune_simclr.py --epochs 10 --seed 123 --checkpoint runs/simclr_resnet18_phash_e25/encoder_last.pt --split-csv metadata/splits_near_duplicate_aware_phash.csv --backbone resnet18 --label-fraction 0.1 --no-freeze-encoder --num-workers 0 --output-dir runs/simclr_resnet18_phash_e25_finetune_10pct_seed123_e10
simclr_resnet18_phash_e25_finetune_50pct_e10,simclr,0.5,10,42,runs/simclr_resnet18_phash_e25_finetune_50pct_e10,done,uv run python scripts/finetune_simclr.py --epochs 10 --seed 42 --checkpoint runs/simclr_resnet18_phash_e25/encoder_last.pt --split-csv metadata/splits_near_duplicate_aware_phash.csv --backbone resnet18 --label-fraction 0.5 --no-freeze-encoder --num-workers 0 --output-dir runs/simclr_resnet18_phash_e25_finetune_50pct_e10
simclr_resnet18_phash_e25_finetune_50pct_seed7_e10,simclr,0.5,10,7,runs/simclr_resnet18_phash_e25_finetune_50pct_seed7_e10,done,uv run python scripts/finetune_simclr.py --epochs 10 --seed 7 --checkpoint runs/simclr_resnet18_phash_e25/encoder_last.pt --split-csv metadata/splits_near_duplicate_aware_phash.csv --backbone resnet18 --label-fraction 0.5 --no-freeze-encoder --num-workers 0 --output-dir runs/simclr_resnet18_phash_e25_finetune_50pct_seed7_e10
simclr_resnet18_phash_e25_finetune_50pct_seed123_e10,simclr,0.5,10,123,runs/simclr_resnet18_phash_e25_finetune_50pct_seed123_e10,done,uv run python scripts/finetune_simclr.py --epochs 10 --seed 123 --checkpoint runs/simclr_resnet18_phash_e25/encoder_last.pt --split-csv metadata/splits_near_duplicate_aware_phash.csv --backbone resnet18 --label-fraction 0.5 --no-freeze-encoder --num-workers 0 --output-dir runs/simclr_resnet18_phash_e25_finetune_50pct_seed123_e10
